Region Abbreviations,U_value,p_value
ORBl5,36,0.137638255
ORBl6a,38,0.081361129
ORBl6b,37,0.10658317
ORBm,30,0.477675024
ORBm1,25,0.948532517
ORBm2/3,28,0.651378446
ORBm5,31,0.401387166
ORBm6a,30,0.477675024
ORBvl,33,0.272490483
ORBvl1,30,0.477675024
ORBvl2/3,29,0.561275836
ORBvl5,31,0.401387166
ORBvl6a,32,0.332921608
ORBvl6b,32,0.332921608
OT,32,0.332921608
OV,15,0.272490483
P,26,0.846450597
P-mot,27,0.746885633
P-sat,27,0.746885633
P-sen,24,1
PA,24,1
PAA,35,0.175244245
PAG,24,1
PAL,32,0.332921608
PALc,33,0.272490483
PALd,36,0.137638255
PALm,27,0.746885633
PALv,34,0.220031364
PAR,26,0.846450597
PARN,26,0.846450597
PAS,28,0.651378446
PB,21,0.746885633
PBG,26,0.846450597
PCG,24,1
PCN,38,0.081361129
PD,33,0.272490483
PERI,29,0.561275836
PERI1,31,0.401387166
PERI2/3,29,0.561275836
PERI5,32,0.332921608
PERI6a,31,0.401387166
PERI6b,34,0.220031364
PF,34,0.220031364
PFL,28,0.651378446
PG,29,0.561275836
PGRN,28,0.651378446
PGRNd,18,0.477675024
PGRNl,29,0.561275836
PH,31,0.401387166
PHY,20,0.651378446
PIR,30,0.477675024
PL,29,0.561275836
PL1,24,1
PL2/3,27,0.746885633
PL5,29,0.561275836
PL6a,29,0.561275836
PL6b,36,0.137638255
PMd,35,0.175244245
PMv,38,0.081361129
PO,36,0.137638255
POL,34,0.220031364
POR,33,0.272490483
POST,26,0.846450597
PP,36,0.137638255
PPN,27,0.746885633
PPT,30,0.477675024
PPY,31,0.401387166
PR,35,0.175244245
PRC,33,0.272490483
PRE,30,0.477675024
PRM,25,0.948532517
PRNc,26,0.846450597
PRNr,27,0.746885633
PRP,19,0.561275836
PRT,31,0.401387166
PS,34,0.220031364
PST,35,0.175244245
PSTN,33,0.272490483
PSV,19,0.561275836
PT,30,0.477675024
PTLp,21,0.746885633
PVa,20,0.651378446
PVH,30,0.477675024
PVHd,33,0.272490483
PVi,38,0.081361129
PVp,38,0.081361129
PVpo,25,0.948532517
PVR,32,0.332921608
PVT,28,0.651378446
PVZ,37,0.10658317
PYR,17,0.401387166
RAmb,26,0.846450597
RCH,17,0.401387166
RE,35,0.175244245
RH,32,0.332921608
RHP,31,0.401387166
RL,25,0.948532517
RM,23,0.948532517
RN,32,0.332921608
RO,26,0.846450597
root,29,0.561275836
RPA,34,0.220031364
RPO,24,1
RR,30,0.477675024
RSP,19,0.561275836
RSPagl,17,0.401387166
RSPagl1,27,0.746885633
RSPagl2/3,15,0.272490483
RSPagl5,15,0.272490483
RSPagl6a,23,0.948532517
RSPagl6b,26,0.846450597
RSPd,17,0.401387166
RSPd1,20,0.651378446
RSPd2/3,12,0.137638255
RSPd5,14,0.220031364
RSPd6a,24,1
RSPd6b,26,0.846450597
RSPv,26,0.846450597
RSPv1,26,0.846450597
RSPv2/3,25,0.948532517
RSPv5,25,0.948532517
RSPv6a,31,0.401387166
RSPv6b,32,0.332921608
RT,39,0.061214635
SAG,30,0.477675024
sAMY,29,0.561275836
SBPV,24,1
SCdg,26,0.846450597
SCdw,26,0.846450597
SCH,18,0.477675024
SCig,27,0.746885633
SCiw,25,0.948532517
SCm,25,0.948532517
SCop,26,0.846450597
SCs,22,0.846450597
SCsg,20,0.651378446
SCzo,23,0.948532517
SEZ,38,0.081361129
SF,29,0.561275836
SFO,33,0.272490483
SG,21,0.746885633
SGN,27,0.746885633
SH,36,0.137638255
SI,34,0.220031364
SIM,22,0.846450597
SLC,23,0.948532517
SLD,23,0.948532517
SMT,38,0.081361129
SNc,28,0.651378446
SNr,29,0.561275836
SO,27,0.746885633
SOC,31,0.401387166
SOCl,28,0.651378446
SOCm,28,0.651378446
SPA,30,0.477675024
SPF,30,0.477675024
SPFm,29,0.561275836
SPFp,34,0.220031364
SPIV,23,0.948532517
SPVC,23,0.948532517
SPVI,21,0.746885633
SPVO,28,0.651378446
SS,35,0.175244245
SSp,35,0.175244245
SSp-bfd,29,0.561275836
SSp-bfd1,33,0.272490483
SSp-bfd2/3,27,0.746885633
SSp-bfd4,28,0.643996242
SSp-bfd5,27,0.746885633
SSp-bfd6a,26,0.846450597
SSp-bfd6b,29,0.561275836
SSp-ll,25,0.948532517
SSp-ll1,26,0.846450597
SSp-ll2/3,24,1
SSp-ll4,23,0.948532517
SSp-ll5,32,0.332921608
SSp-ll6a,34,0.220031364
SSp-ll6b,35,0.175244245
SSp-m,31,0.401387166
SSp-m1,31,0.401387166
SSp-m2/3,31,0.401387166
SSp-m4,29,0.561275836
SSp-m5,35,0.175244245
SSp-m6a,32,0.332921608
SSp-m6b,35,0.175244245
SSp-n,31,0.401387166
SSp-n1,27,0.746885633
SSp-n2/3,21,0.746885633
SSp-n4,18.5,0.513943443
SSp-n5,29,0.561275836
SSp-n6a,27,0.746885633
SSp-n6b,32,0.332921608
SSp-tr,22,0.846450597
SSp-tr1,30,0.475728959
SSp-tr2/3,24,1
SSp-tr4,21,0.746885633
SSp-tr5,21,0.746885633
SSp-tr6a,25,0.948532517
SSp-tr6b,28,0.651378446
SSp-ul,30,0.477675024
SSp-ul1,33,0.272490483
SSp-ul2/3,31,0.401387166
SSp-ul4,29,0.561275836
SSp-ul5,30,0.477675024
SSp-ul6a,30,0.477675024
SSp-ul6b,37,0.10658317
SSs,34,0.220031364
SSs1,28,0.651378446
SSs2/3,28,0.651378446
SSs4,29,0.561275836
SSs5,33,0.272490483
SSs6a,31,0.401387166
SSs6b,30,0.477675024
STN,37,0.10658317
STR,39,0.061214635
STRd,39,0.061214635
STRv,35,0.175244245
SUB,29,0.561275836
SubG,38,0.081361129
SUM,24,1
SUT,20,0.651378446
SUV,26,0.846450597
TEa,29,0.561275836
TEa1,29,0.561275836
TEa2/3,29,0.561275836
TEa4,27,0.746885633
TEa5,30,0.477675024
TEa6a,31,0.401387166
TEa6b,33,0.272490483
TH,36,0.137638255
TM,34,0.220031364
TMd,43,0.016924688
TMv,34,0.220031364
TR,34,0.220031364
TRN,28,0.651378446
TRS,26,0.846450597
TT,30,0.477675024
TTd,36,0.137638255
TTv,30,0.477675024
TU,28,0.651378446
UVU,25,0.948532517
V,23,0.948532517
V3,30,0.477675024
V4,21,0.746885633
V4r,20,0.651378446
VAL,39,0.061214635
VCO,22,0.846450597
VENT,38,0.081361129
VERM,23,0.948532517
VI,23,0.948532517
VII,37,0.10658317
VIS,19,0.561275836
VISal,27,0.746885633
VISal1,32,0.332921608
VISal2/3,27,0.746885633
VISal4,22,0.846450597
VISal5,29,0.561275836
VISal6a,24,1
VISal6b,24,1
VISam,15,0.272490483
VISam1,31,0.39614698
VISam2/3,16,0.330786883
VISam4,17,0.40086911
VISam5,15,0.272490483
VISam6a,20,0.651378446
VISam6b,18,0.477675024
VISC,34,0.220031364
VISC1,31,0.401387166
VISC2/3,36,0.137638255
VISC4,35,0.175244245
VISC5,30,0.477675024
VISC6a,29,0.561275836
VISC6b,30,0.477675024
VISl,27,0.746885633
VISl1,29,0.561275836
VISl2/3,27,0.746885633
VISl4,22,0.846450597
VISl5,25,0.948532517
VISl6a,24,1
VISl6b,23,0.948532517
VISp,18,0.477675024
VISp1,23,0.948532517
VISp2/3,19,0.561275836
VISp4,17,0.401387166
VISp5,17,0.401387166
VISp6a,18,0.477675024
VISp6b,16,0.332921608
VISpl,28,0.651378446
VISpl1,25,0.948532517
VISpl2/3,27,0.746885633
VISpl4,27,0.746885633
VISpl5,26,0.846450597
VISpl6a,22,0.846450597
VISpl6b,30,0.477675024
VISpm,13,0.175244245
VISpm1,25,0.948305102
VISpm2/3,14,0.219524048
VISpm4,13,0.174769696
VISpm5,10,0.081361129
VISpm6a,15,0.272490483
VISpm6b,17,0.401387166
VISrl,21,0.746885633
VISrl6b,21,0.746885633
VL,32,0.332921608
VLPO,19,0.561275836
VM,38,0.081361129
VMH,36,0.137638255
VNC,24,1
VP,38,0.081361129
VPL,40,0.045387929
VPLpc,35,0.175244245
VPM,35,0.175244245
VPMpc,32,0.332921608
VS,27,0.746885633
VTA,24,1
VTN,30,0.477675024
x,18,0.477675024
XII,26,0.846450597
y,21,0.746885633
ZI,41,0.033159987
